市区町村コード,都道府県,市区町村,年齢（５歳階級）,性別,国籍・地域,在留資格,在留外国人数
,,,,,,家族滞在,2
,,,,,,特定活動,1
,,,,,韓国,技術・人文知識・国際業務,2
,,,,,,介護,1
,,,,,,特定活動,1
,,,,,,日本人の配偶者等,4
,,,,,,特別永住者,2
,,,,,朝鮮,特別永住者,1
,,,,,スリランカ,特定技能１号,2
,,,,,タイ,技術・人文知識・国際業務,3
,,,,,,留学,2
,,,,,台湾,高度専門職１号ロ,3
,,,,,,技術・人文知識・国際業務,24
,,,,,,企業内転勤,2
,,,,,,留学,2
,,,,,,家族滞在,8
,,,,,,特定活動,1
,,,,,,永住者,5
,,,,,,日本人の配偶者等,2
,,,,,,永住者の配偶者等,1
,,,,,中国,教授,2
,,,,,,高度専門職１号イ,1
,,,,,,高度専門職１号ロ,2
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,14
