市区町村コード,都道府県,市区町村,年齢（５歳階級）,性別,国籍・地域,在留資格,在留外国人数
,,,,,フィリピン,技術・人文知識・国際業務,4
,,,,,,特定技能１号,3
,,,,,,家族滞在,1
,,,,,,永住者,2
,,,,,,定住者,1
,,,,,ベトナム,技術・人文知識・国際業務,5
,,,,,,特定技能１号,9
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,3
,,,,,,留学,1
,,,,,,家族滞在,1
,,,,,マレーシア,技術・人文知識・国際業務,4
,,,,,ミャンマー,技術・人文知識・国際業務,3
,,,,,,特定技能１号,3
,,,,,,技能実習２号ロ,1
,,,,,,留学,1
,,,,,モンゴル,家族滞在,1
,,,,,アイルランド,企業内転勤,1
,,,,,英国,教育,1
,,,,,オランダ,技術・人文知識・国際業務,1
,,,,,カザフスタン,留学,1
,,,,,,家族滞在,1
,,,,,ジョージア,留学,1
,,,,,フランス,技術・人文知識・国際業務,1
,,,,,エジプト,留学,1
,,,,,ガーナ,留学,1
,,,,,ケニア,留学,2
,,,,,スーダン,留学,1
,,,,,タンザニア,留学,3
,,,,,モーリタニア,留学,2
,,,,,カナダ,日本人の配偶者等,1
,,,,,ドミニカ共和国,高度専門職１号ロ,1
,,,,,米国,教育,1
,,,,,,技術・人文知識・国際業務,5
,,,,,,日本人の配偶者等,2
,,,,,ブラジル,留学,1
,,,,,,永住者,1
,,,,,ベネズエラ,興行,1
,,,,,ボリビア,日本人の配偶者等,1
,,,,,オーストラリア,留学,1
,,,,,,永住者,1
,,,,2:女,アフガニスタン,特定活動,1
,,,,,,定住者,1
,,,,,インド,留学,2
,,,,,,家族滞在,1
,,,,,インドネシア,技術・人文知識・国際業務,1
,,,,,,留学,4
